,frame,cell number,voltage,resistance,current,power,temperature
0,1,cell_1,3.94,0.305,5.993,139.678851,4.800000000000001
1,1,cell_2,3.939,0.304,5.993,139.678851,4.800000000000001
2,1,cell_3,3.936,0.303,5.993,139.678851,4.800000000000001
3,1,cell_4,3.7760000000000002,0.303,5.993,139.678851,4.800000000000001
4,1,cell_5,3.858,0.303,5.993,139.678851,4.800000000000001
5,1,cell_6,3.858,0.303,5.993,139.678851,4.800000000000001
6,1,cell_average,3.8844999999999996,0.30349999999999994,5.993,139.678851,4.800000000000001
7,2,cell_1,3.9370000000000003,0.305,5.915,137.78401,4.800000000000001
8,2,cell_2,3.935,0.304,5.915,137.78401,4.800000000000001
9,2,cell_3,3.93,0.303,5.915,137.78401,4.800000000000001
10,2,cell_4,3.7760000000000002,0.303,5.915,137.78401,4.800000000000001
11,2,cell_5,3.858,0.303,5.915,137.78401,4.800000000000001
12,2,cell_6,3.858,0.303,5.915,137.78401,4.800000000000001
13,2,cell_average,3.8823333333333334,0.30349999999999994,5.915,137.78401,4.800000000000001
14,3,cell_1,3.9370000000000003,0.305,5.993,139.600942,4.800000000000001
15,3,cell_2,3.935,0.304,5.993,139.600942,4.800000000000001
16,3,cell_3,3.93,0.303,5.993,139.600942,4.800000000000001
17,3,cell_4,3.7760000000000002,0.303,5.993,139.600942,4.800000000000001
18,3,cell_5,3.858,0.303,5.993,139.600942,4.800000000000001
19,3,cell_6,3.858,0.303,5.993,139.600942,4.800000000000001
20,3,cell_average,3.8823333333333334,0.30349999999999994,5.993,139.600942,4.800000000000001
21,4,cell_1,3.9370000000000003,0.305,5.993,139.51704,4.800000000000001
22,4,cell_2,3.935,0.304,5.993,139.51704,4.800000000000001
23,4,cell_3,3.931,0.303,5.993,139.51704,4.800000000000001
24,4,cell_4,3.77,0.303,5.993,139.51704,4.800000000000001
25,4,cell_5,3.855,0.303,5.993,139.51704,4.800000000000001
26,4,cell_6,3.852,0.303,5.993,139.51704,4.800000000000001
27,4,cell_average,3.8800000000000003,0.30349999999999994,5.993,139.51704,4.800000000000001
28,5,cell_1,3.9370000000000003,0.305,5.993,139.51704,4.800000000000001
29,5,cell_2,3.935,0.304,5.993,139.51704,4.800000000000001
30,5,cell_3,3.931,0.303,5.993,139.51704,4.800000000000001
31,5,cell_4,3.77,0.303,5.993,139.51704,4.800000000000001
32,5,cell_5,3.855,0.303,5.993,139.51704,4.800000000000001
33,5,cell_6,3.852,0.303,5.993,139.51704,4.800000000000001
34,5,cell_average,3.8800000000000003,0.30349999999999994,5.993,139.51704,4.800000000000001
35,6,cell_1,3.9370000000000003,0.305,5.993,139.505054,4.800000000000001
36,6,cell_2,3.934,0.304,5.993,139.505054,4.800000000000001
37,6,cell_3,3.93,0.303,5.993,139.505054,4.800000000000001
38,6,cell_4,3.77,0.303,5.993,139.505054,4.800000000000001
39,6,cell_5,3.855,0.303,5.993,139.505054,4.800000000000001
40,6,cell_6,3.852,0.303,5.993,139.505054,4.800000000000001
41,6,cell_average,3.8796666666666666,0.30349999999999994,5.993,139.505054,4.800000000000001
42,7,cell_1,3.9370000000000003,0.305,5.915,137.68937,4.800000000000001
43,7,cell_2,3.934,0.304,5.915,137.68937,4.800000000000001
44,7,cell_3,3.93,0.303,5.915,137.68937,4.800000000000001
45,7,cell_4,3.77,0.303,5.915,137.68937,4.800000000000001
46,7,cell_5,3.855,0.303,5.915,137.68937,4.800000000000001
47,7,cell_6,3.852,0.303,5.915,137.68937,4.800000000000001
48,7,cell_average,3.8796666666666666,0.30349999999999994,5.915,137.68937,4.800000000000001
49,8,cell_1,3.926,0.305,5.993,139.26533400000002,4.800000000000001
50,8,cell_2,3.926,0.304,5.993,139.26533400000002,4.800000000000001
51,8,cell_3,3.924,0.303,5.993,139.26533400000002,4.800000000000001
52,8,cell_4,3.771,0.303,5.993,139.26533400000002,4.800000000000001
53,8,cell_5,3.847,0.303,5.993,139.26533400000002,4.800000000000001
54,8,cell_6,3.844,0.303,5.993,139.26533400000002,4.800000000000001
55,8,cell_average,3.8730000000000007,0.30349999999999994,5.993,139.26533400000002,4.800000000000001
56,9,cell_1,3.926,0.305,5.993,139.26533400000002,4.800000000000001
57,9,cell_2,3.926,0.304,5.993,139.26533400000002,4.800000000000001
58,9,cell_3,3.924,0.303,5.993,139.26533400000002,4.800000000000001
59,9,cell_4,3.771,0.303,5.993,139.26533400000002,4.800000000000001
60,9,cell_5,3.847,0.303,5.993,139.26533400000002,4.800000000000001
61,9,cell_6,3.844,0.303,5.993,139.26533400000002,4.800000000000001
62,9,cell_average,3.8730000000000007,0.30349999999999994,5.993,139.26533400000002,4.800000000000001
63,10,cell_1,3.923,0.305,5.993,139.15146700000003,4.800000000000001
64,10,cell_2,3.924,0.304,5.993,139.15146700000003,4.800000000000001
65,10,cell_3,3.923,0.303,5.993,139.15146700000003,4.800000000000001
66,10,cell_4,3.765,0.303,5.993,139.15146700000003,4.800000000000001
67,10,cell_5,3.841,0.303,5.993,139.15146700000003,4.800000000000001
68,10,cell_6,3.843,0.303,5.993,139.15146700000003,4.800000000000001
69,10,cell_average,3.8698333333333337,0.30349999999999994,5.993,139.15146700000003,4.800000000000001
70,11,cell_1,3.923,0.305,6.071,140.962549,4.800000000000001
71,11,cell_2,3.924,0.304,6.071,140.962549,4.800000000000001
72,11,cell_3,3.923,0.303,6.071,140.962549,4.800000000000001
73,11,cell_4,3.765,0.303,6.071,140.962549,4.800000000000001
74,11,cell_5,3.841,0.303,6.071,140.962549,4.800000000000001
75,11,cell_6,3.843,0.303,6.071,140.962549,4.800000000000001
76,11,cell_average,3.8698333333333337,0.30349999999999994,6.071,140.962549,4.800000000000001
77,12,cell_1,3.922,0.305,5.915,137.257575,4.800000000000001
78,12,cell_2,3.924,0.304,5.915,137.257575,4.800000000000001
79,12,cell_3,3.922,0.303,5.915,137.257575,4.800000000000001
80,12,cell_4,3.757,0.303,5.915,137.257575,4.800000000000001
81,12,cell_5,3.839,0.303,5.915,137.257575,4.800000000000001
82,12,cell_6,3.841,0.303,5.915,137.257575,4.800000000000001
83,12,cell_average,3.8675,0.30349999999999994,5.915,137.257575,4.800000000000001
84,13,cell_1,3.922,0.305,6.071,140.877555,4.800000000000001
85,13,cell_2,3.924,0.304,6.071,140.877555,4.800000000000001
86,13,cell_3,3.922,0.303,6.071,140.877555,4.800000000000001
87,13,cell_4,3.757,0.303,6.071,140.877555,4.800000000000001
88,13,cell_5,3.839,0.303,6.071,140.877555,4.800000000000001
89,13,cell_6,3.841,0.303,6.071,140.877555,4.800000000000001
90,13,cell_average,3.8675,0.30349999999999994,6.071,140.877555,4.800000000000001
91,14,cell_1,3.919,0.305,5.993,138.98366300000004,4.800000000000001
92,14,cell_2,3.92,0.304,5.993,138.98366300000004,4.800000000000001
93,14,cell_3,3.919,0.303,5.993,138.98366300000004,4.800000000000001
94,14,cell_4,3.757,0.303,5.993,138.98366300000004,4.800000000000001
95,14,cell_5,3.838,0.303,5.993,138.98366300000004,4.800000000000001
96,14,cell_6,3.838,0.303,5.993,138.98366300000004,4.800000000000001
97,14,cell_average,3.865166666666667,0.30349999999999994,5.993,138.98366300000004,4.800000000000001
98,15,cell_1,3.919,0.305,6.071,140.792561,4.800000000000001
99,15,cell_2,3.92,0.304,6.071,140.792561,4.800000000000001
