,frame,time,cell number,voltage,resistance,current,power,temperature_1,temperature_2
64,10,5.5,cell_2,4.0520000000000005,0.302,0.311,7.559166000000001,6353.6,6353.6
65,10,5.5,cell_3,4.0520000000000005,0.301,0.311,7.559166000000001,6353.6,6353.6
66,10,5.5,cell_4,4.049,0.301,0.311,7.559166000000001,6353.6,6353.6
67,10,5.5,cell_5,4.048,0.301,0.311,7.559166000000001,6353.6,6353.6
68,10,5.5,cell_6,4.048,0.302,0.311,7.559166000000001,6353.6,6353.6
69,10,5.5,cell_average,4.051000000000001,0.30166666666666664,0.311,7.559166000000001,6353.6,6353.6
70,11,6.0,cell_1,4.057,0.303,0.311,7.559477,6353.6,6353.6
71,11,6.0,cell_2,4.0520000000000005,0.302,0.311,7.559477,6353.6,6353.6
72,11,6.0,cell_3,4.0520000000000005,0.301,0.311,7.559477,6353.6,6353.6
73,11,6.0,cell_4,4.049,0.301,0.311,7.559477,6353.6,6353.6
74,11,6.0,cell_5,4.048,0.301,0.311,7.559477,6353.6,6353.6
75,11,6.0,cell_6,4.049,0.302,0.311,7.559477,6353.6,6353.6
76,11,6.0,cell_average,4.051166666666667,0.30166666666666664,0.311,7.559477,6353.6,6353.6
77,12,6.5,cell_1,4.057,0.303,0.311,7.559788,6353.6,6353.6
78,12,6.5,cell_2,4.053,0.302,0.311,7.559788,6353.6,6353.6
79,12,6.5,cell_3,4.0520000000000005,0.301,0.311,7.559788,6353.6,6353.6
80,12,6.5,cell_4,4.049,0.301,0.311,7.559788,6353.6,6353.6
81,12,6.5,cell_5,4.048,0.301,0.311,7.559788,6353.6,6353.6
82,12,6.5,cell_6,4.049,0.302,0.311,7.559788,6353.6,6353.6
83,12,6.5,cell_average,4.051333333333333,0.30166666666666664,0.311,7.559788,6353.6,6353.6
84,13,7.0,cell_1,4.057,0.303,0.311,7.559166000000001,6353.6,6353.6
85,13,7.0,cell_2,4.0520000000000005,0.302,0.311,7.559166000000001,6353.6,6353.6
86,13,7.0,cell_3,4.0520000000000005,0.301,0.311,7.559166000000001,6353.6,6353.6
87,13,7.0,cell_4,4.049,0.301,0.311,7.559166000000001,6353.6,6353.6
88,13,7.0,cell_5,4.048,0.301,0.311,7.559166000000001,6353.6,6353.6
89,13,7.0,cell_6,4.048,0.302,0.311,7.559166000000001,6353.6,6353.6
90,13,7.0,cell_average,4.051000000000001,0.30166666666666664,0.311,7.559166000000001,6353.6,6353.6
91,14,7.5,cell_1,4.055,0.303,0.311,7.558854999999999,6353.6,6353.6
92,14,7.5,cell_2,4.0520000000000005,0.302,0.311,7.558854999999999,6353.6,6353.6
93,14,7.5,cell_3,4.053,0.301,0.311,7.558854999999999,6353.6,6353.6
94,14,7.5,cell_4,4.049,0.301,0.311,7.558854999999999,6353.6,6353.6
95,14,7.5,cell_5,4.048,0.301,0.311,7.558854999999999,6353.6,6353.6
96,14,7.5,cell_6,4.048,0.302,0.311,7.558854999999999,6353.6,6353.6
97,14,7.5,cell_average,4.050833333333333,0.30166666666666664,0.311,7.558854999999999,6353.6,6353.6
98,15,8.0,cell_1,4.057,0.303,0.311,7.559477,6353.6,6353.6
99,15,8.0,cell_2,4.0520000000000005,0.302,0.311,7.559477,6353.6,6353.6
100,15,8.0,cell_3,4.0520000000000005,0.301,0.311,7.559477,6353.6,6353.6
101,15,8.0,cell_4,4.049,0.301,0.311,7.559477,6353.6,6353.6
102,15,8.0,cell_5,4.048,0.301,0.311,7.559477,6353.6,6353.6
103,15,8.0,cell_6,4.049,0.302,0.311,7.559477,6353.6,6353.6
104,15,8.0,cell_average,4.051166666666667,0.30166666666666664,0.311,7.559477,6353.6,6353.6
105,16,8.5,cell_1,4.055,0.303,0.311,7.558854999999999,6353.6,6353.6
106,16,8.5,cell_2,4.0520000000000005,0.302,0.311,7.558854999999999,6353.6,6353.6
