,frame,cell number,voltage,resistance,current,power
97,14,cell_average,3.865166666666667,0.30349999999999994,5.993,138.98366300000004
98,15,cell_1,3.919,0.305,6.071,140.792561
99,15,cell_2,3.92,0.304,6.071,140.792561
100,15,cell_3,3.919,0.303,6.071,140.792561
101,15,cell_4,3.757,0.303,6.071,140.792561
102,15,cell_5,3.838,0.303,6.071,140.792561
103,15,cell_6,3.838,0.303,6.071,140.792561
104,15,cell_average,3.865166666666667,0.30349999999999994,6.071,140.792561
105,16,cell_1,3.914,0.305,6.071,140.68935399999998
106,16,cell_2,3.919,0.304,6.071,140.68935399999998
107,16,cell_3,3.916,0.303,6.071,140.68935399999998
108,16,cell_4,3.7560000000000002,0.303,6.071,140.68935399999998
109,16,cell_5,3.833,0.303,6.071,140.68935399999998
110,16,cell_6,3.8360000000000003,0.303,6.071,140.68935399999998
111,16,cell_average,3.8623333333333334,0.30349999999999994,6.071,140.68935399999998
112,17,cell_1,3.914,0.305,6.149,142.496926
113,17,cell_2,3.919,0.304,6.149,142.496926
114,17,cell_3,3.916,0.303,6.149,142.496926
115,17,cell_4,3.7560000000000002,0.303,6.149,142.496926
116,17,cell_5,3.833,0.303,6.149,142.496926
117,17,cell_6,3.8360000000000003,0.303,6.149,142.496926
118,17,cell_average,3.8623333333333334,0.30349999999999994,6.149,142.496926
119,18,cell_1,3.914,0.305,5.915,136.93224999999998
120,18,cell_2,3.914,0.304,5.915,136.93224999999998
121,18,cell_3,3.912,0.303,5.915,136.93224999999998
122,18,cell_4,3.747,0.303,5.915,136.93224999999998
123,18,cell_5,3.83,0.303,5.915,136.93224999999998
124,18,cell_6,3.833,0.303,5.915,136.93224999999998
125,18,cell_average,3.858333333333333,0.30349999999999994,5.915,136.93224999999998
126,19,cell_1,3.914,0.305,6.071,140.54364999999999
127,19,cell_2,3.914,0.304,6.071,140.54364999999999
128,19,cell_3,3.912,0.303,6.071,140.54364999999999
129,19,cell_4,3.747,0.303,6.071,140.54364999999999
130,19,cell_5,3.83,0.303,6.071,140.54364999999999
131,19,cell_6,3.833,0.303,6.071,140.54364999999999
132,19,cell_average,3.858333333333333,0.30349999999999994,6.071,140.54364999999999
133,20,cell_1,3.911,0.305,6.071,140.519366
134,20,cell_2,3.9130000000000003,0.304,6.071,140.519366
135,20,cell_3,3.912,0.303,6.071,140.519366
136,20,cell_4,3.747,0.303,6.071,140.519366
137,20,cell_5,3.83,0.303,6.071,140.519366
138,20,cell_6,3.833,0.303,6.071,140.519366
139,20,cell_average,3.857666666666667,0.30349999999999994,6.071,140.519366
140,21,cell_1,3.911,0.305,6.071,140.519366
141,21,cell_2,3.9130000000000003,0.304,6.071,140.519366
142,21,cell_3,3.912,0.303,6.071,140.519366
143,21,cell_4,3.747,0.303,6.071,140.519366
144,21,cell_5,3.83,0.303,6.071,140.519366
145,21,cell_6,3.833,0.303,6.071,140.519366
146,21,cell_average,3.857666666666667,0.30349999999999994,6.071,140.519366
147,22,cell_1,3.911,0.305,5.993,138.761922
148,22,cell_2,3.9130000000000003,0.304,5.993,138.761922
149,22,cell_3,3.914,0.303,5.993,138.761922
150,22,cell_4,3.754,0.303,5.993,138.761922
151,22,cell_5,3.829,0.303,5.993,138.761922
152,22,cell_6,3.833,0.303,5.993,138.761922
153,22,cell_average,3.8589999999999995,0.30349999999999994,5.993,138.761922
154,23,cell_1,3.911,0.305,5.915,136.95591
155,23,cell_2,3.9130000000000003,0.304,5.915,136.95591
156,23,cell_3,3.914,0.303,5.915,136.95591
157,23,cell_4,3.754,0.303,5.915,136.95591
158,23,cell_5,3.829,0.303,5.915,136.95591
159,23,cell_6,3.833,0.303,5.915,136.95591
160,23,cell_average,3.8589999999999995,0.30349999999999994,5.915,136.95591
161,24,cell_1,3.908,0.305,5.993,138.73795
162,24,cell_2,3.912,0.304,5.993,138.73795
163,24,cell_3,3.914,0.303,5.993,138.73795
164,24,cell_4,3.754,0.303,5.993,138.73795
165,24,cell_5,3.829,0.303,5.993,138.73795
166,24,cell_6,3.833,0.303,5.993,138.73795
167,24,cell_average,3.858333333333333,0.30349999999999994,5.993,138.73795
168,25,cell_1,3.908,0.305,6.227,144.15505
169,25,cell_2,3.912,0.304,6.227,144.15505
170,25,cell_3,3.914,0.303,6.227,144.15505
171,25,cell_4,3.754,0.303,6.227,144.15505
172,25,cell_5,3.829,0.303,6.227,144.15505
173,25,cell_6,3.833,0.303,6.227,144.15505
174,25,cell_average,3.858333333333333,0.30349999999999994,6.227,144.15505
175,26,cell_1,3.908,0.305,6.071,140.312952
176,26,cell_2,3.907,0.304,6.071,140.312952
177,26,cell_3,3.907,0.303,6.071,140.312952
178,26,cell_4,3.742,0.303,6.071,140.312952
179,26,cell_5,3.822,0.303,6.071,140.312952
180,26,cell_6,3.826,0.303,6.071,140.312952
181,26,cell_average,3.852,0.30349999999999994,6.071,140.312952
182,27,cell_1,3.908,0.305,6.071,140.312952
183,27,cell_2,3.907,0.304,6.071,140.312952
184,27,cell_3,3.907,0.303,6.071,140.312952
185,27,cell_4,3.742,0.303,6.071,140.312952
186,27,cell_5,3.822,0.303,6.071,140.312952
187,27,cell_6,3.826,0.303,6.071,140.312952
188,27,cell_average,3.852,0.30349999999999994,6.071,140.312952
189,28,cell_1,3.908,0.305,6.149,142.084943
190,28,cell_2,3.902,0.304,6.149,142.084943
191,28,cell_3,3.907,0.303,6.149,142.084943
192,28,cell_4,3.742,0.303,6.149,142.084943
193,28,cell_5,3.822,0.303,6.149,142.084943
194,28,cell_6,3.826,0.303,6.149,142.084943
195,28,cell_average,3.8511666666666664,0.30349999999999994,6.149,142.084943
196,29,cell_1,3.908,0.305,6.149,142.084943
197,29,cell_2,3.902,0.304,6.149,142.084943
198,29,cell_3,3.907,0.303,6.149,142.084943
199,29,cell_4,3.742,0.303,6.149,142.084943
