,frame,cell number,voltage,resistance,current,power,temperature_1,temperature_2
76,11,cell_average,4.0455000000000005,0.3123333333333333,0.0,0.0,22.6,22.400000000000002
77,12,cell_1,4.054,0.315,0.0,0.0,22.6,22.400000000000002
78,12,cell_2,4.053,0.312,0.0,0.0,22.6,22.400000000000002
79,12,cell_3,4.054,0.313,0.0,0.0,22.6,22.400000000000002
80,12,cell_4,4.03,0.313,0.0,0.0,22.6,22.400000000000002
81,12,cell_5,4.037,0.309,0.0,0.0,22.6,22.400000000000002
82,12,cell_6,4.042,0.312,0.0,0.0,22.6,22.400000000000002
83,12,cell_average,4.044999999999999,0.3123333333333333,0.0,0.0,22.6,22.400000000000002
84,13,cell_1,4.054,0.315,0.0,0.0,22.6,22.400000000000002
85,13,cell_2,4.053,0.312,0.0,0.0,22.6,22.400000000000002
86,13,cell_3,4.054,0.313,0.0,0.0,22.6,22.400000000000002
87,13,cell_4,4.03,0.313,0.0,0.0,22.6,22.400000000000002
88,13,cell_5,4.037,0.309,0.0,0.0,22.6,22.400000000000002
89,13,cell_6,4.042,0.312,0.0,0.0,22.6,22.400000000000002
90,13,cell_average,4.044999999999999,0.3123333333333333,0.0,0.0,22.6,22.400000000000002
91,14,cell_1,4.054,0.315,0.0,0.0,22.6,22.400000000000002
92,14,cell_2,4.053,0.312,0.0,0.0,22.6,22.400000000000002
93,14,cell_3,4.054,0.313,0.0,0.0,22.6,22.400000000000002
94,14,cell_4,4.03,0.313,0.0,0.0,22.6,22.400000000000002
95,14,cell_5,4.037,0.309,0.0,0.0,22.6,22.400000000000002
96,14,cell_6,4.042,0.312,0.0,0.0,22.6,22.400000000000002
97,14,cell_average,4.044999999999999,0.3123333333333333,0.0,0.0,22.6,22.400000000000002
98,15,cell_1,4.054,0.315,0.0,0.0,22.6,22.400000000000002
99,15,cell_2,4.053,0.312,0.0,0.0,22.6,22.400000000000002
100,15,cell_3,4.054,0.313,0.0,0.0,22.6,22.400000000000002
101,15,cell_4,4.03,0.313,0.0,0.0,22.6,22.400000000000002
102,15,cell_5,4.037,0.309,0.0,0.0,22.6,22.400000000000002
103,15,cell_6,4.042,0.312,0.0,0.0,22.6,22.400000000000002
104,15,cell_average,4.044999999999999,0.3123333333333333,0.0,0.0,22.6,22.400000000000002
105,16,cell_1,4.048,0.315,0.0,0.0,22.6,22.400000000000002
106,16,cell_2,4.058,0.312,0.0,0.0,22.6,22.400000000000002
107,16,cell_3,4.054,0.313,0.0,0.0,22.6,22.400000000000002
108,16,cell_4,4.03,0.313,0.0,0.0,22.6,22.400000000000002
109,16,cell_5,4.037,0.309,0.0,0.0,22.6,22.400000000000002
110,16,cell_6,4.041,0.312,0.0,0.0,22.6,22.400000000000002
111,16,cell_average,4.044666666666667,0.3123333333333333,0.0,0.0,22.6,22.400000000000002
112,17,cell_1,4.048,0.315,0.0,0.0,22.6,22.400000000000002
113,17,cell_2,4.058,0.312,0.0,0.0,22.6,22.400000000000002
114,17,cell_3,4.054,0.313,0.0,0.0,22.6,22.400000000000002
115,17,cell_4,4.03,0.313,0.0,0.0,22.6,22.400000000000002
116,17,cell_5,4.037,0.309,0.0,0.0,22.6,22.400000000000002
117,17,cell_6,4.041,0.312,0.0,0.0,22.6,22.400000000000002
118,17,cell_average,4.044666666666667,0.3123333333333333,0.0,0.0,22.6,22.400000000000002
119,18,cell_1,4.047,0.315,0.0,0.0,22.6,22.400000000000002
120,18,cell_2,4.058,0.312,0.0,0.0,22.6,22.400000000000002
121,18,cell_3,4.054,0.313,0.0,0.0,22.6,22.400000000000002
122,18,cell_4,4.03,0.313,0.0,0.0,22.6,22.400000000000002
123,18,cell_5,4.037,0.309,0.0,0.0,22.6,22.400000000000002
124,18,cell_6,4.041,0.312,0.0,0.0,22.6,22.400000000000002
125,18,cell_average,4.0445,0.3123333333333333,0.0,0.0,22.6,22.400000000000002
126,19,cell_1,4.047,0.315,0.0,0.0,22.6,22.400000000000002
127,19,cell_2,4.058,0.312,0.0,0.0,22.6,22.400000000000002
128,19,cell_3,4.054,0.313,0.0,0.0,22.6,22.400000000000002
129,19,cell_4,4.03,0.313,0.0,0.0,22.6,22.400000000000002
130,19,cell_5,4.037,0.309,0.0,0.0,22.6,22.400000000000002
131,19,cell_6,4.041,0.312,0.0,0.0,22.6,22.400000000000002
